product_name,price,rating,url,scraped_at
a light in the attic,51.77,3,https://books.toscrape.com/a-light-in-the-attic_1000/index.html,2026-03-10T10:14:20.626566+00:00
tipping the velvet,53.74,1,https://books.toscrape.com/tipping-the-velvet_999/index.html,2026-03-10T10:14:20.626941+00:00
soumission,50.1,1,https://books.toscrape.com/soumission_998/index.html,2026-03-10T10:14:20.627322+00:00
sharp objects,47.82,4,https://books.toscrape.com/sharp-objects_997/index.html,2026-03-10T10:14:20.627659+00:00
sapiens: a brief history of humankind,54.23,5,https://books.toscrape.com/sapiens-a-brief-history-of-humankind_996/index.html,2026-03-10T10:14:20.628037+00:00
the requiem red,22.65,1,https://books.toscrape.com/the-requiem-red_995/index.html,2026-03-10T10:14:20.628368+00:00
the dirty little secrets of getting your dream job,33.34,4,https://books.toscrape.com/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-03-10T10:14:20.628711+00:00
"the coming woman: a novel based on the life of the infamous feminist, victoria woodhull",17.93,3,https://books.toscrape.com/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-03-10T10:14:20.629054+00:00
the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,22.6,4,https://books.toscrape.com/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-03-10T10:14:20.629358+00:00
the black maria,52.15,1,https://books.toscrape.com/the-black-maria_991/index.html,2026-03-10T10:14:20.629660+00:00
"starving hearts (triangular trade trilogy, #1)",13.99,2,https://books.toscrape.com/starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-03-10T10:14:20.629990+00:00
shakespeare's sonnets,20.66,4,https://books.toscrape.com/shakespeares-sonnets_989/index.html,2026-03-10T10:14:20.630297+00:00
set me free,17.46,5,https://books.toscrape.com/set-me-free_988/index.html,2026-03-10T10:14:20.630625+00:00
scott pilgrim's precious little life (scott pilgrim #1),52.29,5,https://books.toscrape.com/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-03-10T10:14:20.630926+00:00
rip it up and start again,35.02,5,https://books.toscrape.com/rip-it-up-and-start-again_986/index.html,2026-03-10T10:14:20.631247+00:00
